addressString,fullAddress,score,precision,faults,X,Y,Cultivar,Blooming
2696 W 33rd Ave,"2696 W 33rd Ave, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.165341,49.2420078,Accolade,03/14-03/26
2763 Oliver Crescent,"2763 Oliver Cres, Vancouver, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-123.1668682,49.24938,Accolade,03/14-03/26
6400 Halifax,"6400 Halifax St, Burnaby, BC",82,BLOCK(99),"[LOCALITY.missing:10, STREET_TYPE.missing:6, PROVINCE.missing:1]",-122.9715715,49.2679585,Accolade,03/14-03/26
Victory at Royal Oak,"Victoria Ave, Oak Bay, BC",59,STREET(78),"[LOCALITY_GARBAGE.notAllowed:3, LOCALITY.partialMatch:1, STREET_NAME.spelledWrong:2, STREET_TYPE.missing:6, PROVINCE.missing:1, FAULTS.tooMany:6]",-123.3178412,48.41911,Accolade,03/14-03/26
Dunlop and Charles,"Charles St and Dunlop Ave, Burnaby, BC",77,INTERSECTION(100),"[STREET_TYPE.missing:6, STREET_TYPE.missing:6, LOCALITY.missing:10, PROVINCE.missing:1]",-122.9794967,49.272514,Accolade,03/14-03/26
Cariboo at 15th Ave,"15 Aveling Coalmine Rd, Telkwa, BC",72,BLOCK(99),"[INITIAL_GARBAGE.notAllowed:3, STREET_NAME.partialMatch:1, LOCALITY.missing:10, STREET_TYPE.missing:6, PROVINCE.missing:1, FAULTS.tooMany:6]",-127.1151259,54.6597537,Accolade,03/14-03/26
McGregor south of Rumble,"Rumble Beach in Port Alice, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-127.4844444,50.4275,Accolade,03/14-03/26
1841-1851 Moore Ave,"UNIT 1841 -- 1851 Moore Ave, Burnaby, BC",88,CIVIC_NUMBER(100),"[UNIT_DESIGNATOR.missing:0, UNIT_NUMBER.notMatched:1, LOCALITY.missing:10, PROVINCE.missing:1]",-122.9608908,49.26733,Accolade,03/14-03/26
5209 Schou St,"5209 Schou St, Burnaby, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.9886533,49.254515,Accolade,03/14-03/26
6210 Royal Oak Ave,"6210 Royal Oak Ave, Burnaby, BC",89,CIVIC_NUMBER(100),"[LOCALITY.missing:10, PROVINCE.missing:1]",-122.9885047,49.2278101,Accolade,03/14-03/26
